trec_topic_number,trec_doc_id,pm_rel_desc,disease_desc,gene1_annotation_desc,gene1_name,gene2_annotation_desc,gene2_name,gene3_annotation_desc,gene3_name,demographics_desc,other_desc
1,1007359,Human PM,More Specific,Missing Gene,BRAF (V600E),,,,,Matches,Not Discussed
1,10833951,Human PM,More Specific,Missing Gene,BRAF (V600E),,,,,Excludes,Not Discussed
1,11381855,Human PM,More Specific,Missing Gene,BRAF (V600E),,,,,Excludes,Not Discussed
1,1234252,Not PM,,,,,,,,,
1,1234878,Not PM,,,,,,,,,
1,12758096,Not PM,,,,,,,,,
1,13019089,Human PM,More Specific,Missing Gene,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,13019606,Human PM,More Specific,Missing Gene,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,13120118,Human PM,More Specific,Missing Gene,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,13188512,Human PM,More Specific,Missing Gene,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,13230519,Human PM,More Specific,Missing Gene,BRAF (V600E),,,,,Matches,Not Discussed
1,13307997,Not PM,,,,,,,,,
1,13394708,Human PM,More Specific,Missing Gene,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,14048346,Human PM,More Specific,Missing Gene,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,14130671,Not PM,,,,,,,,,
1,1468250,Not PM,,,,,,,,,
1,14873571,Human PM,More Specific,Missing Gene,BRAF (V600E),,,,,Excludes,Not Discussed
1,14943094,Not PM,,,,,,,,,
1,14961576,Not PM,,,,,,,,,
1,1502030,Human PM,More Specific,Missing Gene,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,15060100,Human PM,More Specific,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,15277467,Human PM,More Specific,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,15515191,Human PM,Not Disease,Different Variant,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,15577314,Human PM,More Specific,Different Variant,BRAF (V600E),,,,,Not Discussed,Not Discussed
1,15663508,Not PM,,,,,,,,,
1,15694309,Animal PM,Exact,Exact,BRAF (V600E),,,,,Not Discussed,Not Discussed
