trec_topic_number,trec_doc_id,pm_rel_desc,disease_desc,gene1_annotation_desc,gene1_name,gene2_annotation_desc,gene2_name,gene3_annotation_desc,gene3_name,demographics_desc,other_desc
1,NCT00001452,Not PM,,,,,,,,,
1,NCT00003911,Human PM,Exact,Missing Gene,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT00016263,Human PM,Exact,Missing Gene,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT00112216,Human PM,Exact,Missing Gene,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT00260390,Not PM,,,,,,,,,
1,NCT00264056,Human PM,More Specific,Missing Gene,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT00288938,Not PM,,,,,,,,,
1,NCT00302588,Not PM,,,,,,,,,
1,NCT00339222,Not PM,,,,,,,,,
1,NCT00341991,Not PM,,,,,,,,,
1,NCT00405587,Human PM,Exact,Exact,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT00422448,Not PM,,,,,,,,,
1,NCT00434057,Not PM,,,,,,,,,
1,NCT00453557,Not PM,,,,,,,,,
1,NCT00463892,Not PM,,,,,,,,,
1,NCT00482105,Not PM,,,,,,,,,
1,NCT00526149,Human PM,More General,Missing Gene,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT00536029,Not PM,,,,,,,,,
1,NCT00633516,Not PM,,,,,,,,,
1,NCT00671918,Not PM,,,,,,,,,
1,NCT00776945,Human PM,Exact,Missing Gene,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT00847522,Not PM,,,,,,,,,
1,NCT00866177,Human PM,Exact,Missing Variant,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT00888134,Not PM,,,,,,,,,
1,NCT00947479,Not PM,,,,,,,,,
1,NCT00949702,Human PM,More Specific,Exact,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT00963664,Human PM,Exact,Missing Gene,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT00991991,Human PM,Exact,Missing Gene,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT01006980,Human PM,Exact,Exact,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT01037127,Human PM,More Specific,Missing Variant,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT01037790,Not PM,,,,,,,,,
1,NCT01053819,Not PM,,,,,,,,,
1,NCT01106040,Not PM,,,,,,,,,
1,NCT01107418,Human PM,Exact,Exact,BRAF (V600E),,,,,Matches,Not Discussed
1,NCT01118832,Not PM,,,,,,,,,
1,NCT01136967,Human PM,Exact,Missing Gene,BRAF (V600E),,,,,Matches,Not Discussed
