trec_topic_number,trec_doc_id,pm_rel_desc,disease_desc,gene1_annotation_desc,gene1_name,gene2_annotation_desc,gene2_name,gene3_annotation_desc,gene3_name,demographics_desc,treatments
1,10505314,Not PM,,,,,,,,,[]
1,11689295,Not PM,,,,,,,,,[]
1,12068308,Human PM,More General,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,12460918,Human PM,More General,Different Variant,BRAF (E586K),,,,,Not Discussed,['ras']
1,12619120,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Not Discussed,['glutamic acid']
1,12620973,Not PM,,,,,,,,,[]
1,12655446,Not PM,,,,,,,,,[]
1,12697856,Human PM,Not Disease,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,12810628,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,['level']
1,12824225,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,12873977,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,12873990,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,['ras']
1,12957284,Human PM,More General,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,12960123,Human PM,More Specific,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
1,14500344,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,['agar']
1,14501284,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,['level']
1,14522889,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Not Discussed,[]
1,14522897,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Not Discussed,['ras']
1,14617374,Human PM,More Specific,Missing Variant,BRAF (E586K),,,,,Excludes,[]
1,14679157,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,['ras']
1,14681681,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed,[]
