trec_topic_number,trec_doc_id,pm_rel_desc,disease_desc,gene1_annotation_desc,gene1_name,gene2_annotation_desc,gene2_name,gene3_annotation_desc,gene3_name,demographics_desc
1,NCT00001685,Not PM,,,,,,,,
1,NCT00002860,Not PM,,,,,,,,
1,NCT00003224,Not PM,,,,,,,,
1,NCT00004153,Not PM,,,,,,,,
1,NCT00036816,Not PM,,,,,,,,
1,NCT00060333,Not PM,,,,,,,,
1,NCT00071981,Not PM,,,,,,,,
1,NCT00087386,Not PM,,,,,,,,
1,NCT00116363,Not PM,,,,,,,,
1,NCT00119249,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Matches
1,NCT00124124,Not PM,,,,,,,,
1,NCT00125749,Not PM,,,,,,,,
1,NCT00199901,Not PM,,,,,,,,
1,NCT00204516,Not PM,,,,,,,,
1,NCT00235482,Not PM,,,,,,,,
1,NCT00254397,Not PM,,,,,,,,
1,NCT00299689,Not PM,,,,,,,,
1,NCT00300612,Not PM,,,,,,,,
1,NCT00304525,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed
1,NCT00338130,Not PM,,,,,,,,
1,NCT00339404,Not PM,,,,,,,,
1,NCT00344799,Not PM,,,,,,,,
1,NCT00348088,Not PM,,,,,,,,
1,NCT00405587,Human PM,More General,Different Variant,BRAF (E586K),,,,,Not Discussed
1,NCT00445783,Not PM,,,,,,,,
1,NCT00450593,Not PM,,,,,,,,
1,NCT00463892,Not PM,,,,,,,,
1,NCT00477906,Not PM,,,,,,,,
1,NCT00510302,Not PM,,,,,,,,
1,NCT00553618,Not PM,,,,,,,,
1,NCT00559026,Not PM,,,,,,,,
1,NCT00671554,Not PM,,,,,,,,
1,NCT00675727,Not PM,,,,,,,,
1,NCT00811759,Human PM,More Specific,Missing Variant,BRAF (E586K),,,,,Not Discussed
1,NCT00842712,Not PM,,,,,,,,
1,NCT00849407,Not PM,,,,,,,,
1,NCT00897481,Not PM,,,,,,,,
1,NCT00936221,Human PM,Exact,Missing Variant,BRAF (E586K),,,,,Not Discussed
1,NCT00955578,Human PM,More Specific,Missing Variant,BRAF (E586K),,,,,Not Discussed
1,NCT00975520,Not PM,,,,,,,,
1,NCT00996827,Not PM,,,,,,,,
1,NCT01025453,Not PM,,,,,,,,
1,NCT01037127,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Matches
1,NCT01045915,Not PM,,,,,,,,
1,NCT01072175,Human PM,More General,Missing Variant,BRAF (E586K),,,,,Matches
1,NCT01079741,Not PM,,,,,,,,
1,NCT01082198,Not PM,,,,,,,,
1,NCT01136967,Human PM,More Specific,Missing Variant,BRAF (E586K),,,,,Matches
1,NCT01153763,Human PM,More Specific,Missing Variant,BRAF (E586K),,,,,Matches
1,NCT01166126,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT01168050,Human PM,More Specific,Missing Variant,BRAF (E586K),,,,,Matches
1,NCT01227889,Human PM,More Specific,Missing Variant,BRAF (E586K),,,,,Matches
1,NCT01231568,Not PM,,,,,,,,
1,NCT01245062,Human PM,More Specific,Missing Variant,BRAF (E586K),,,,,Matches
1,NCT01253564,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT01264380,Not PM,,,,,,,,
1,NCT01266967,Human PM,More Specific,Missing Variant,BRAF (E586K),,,,,Matches
1,NCT01271803,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Matches
1,NCT01280565,Not PM,,,,,,,,
1,NCT01281722,Not PM,,,,,,,,
1,NCT01288963,Not PM,,,,,,,,
1,NCT01307397,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT01320085,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT01336270,Not PM,,,,,,,,
1,NCT01336634,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT01377025,Human PM,More Specific,Missing Variant,BRAF (E586K),,,,,Matches
1,NCT01400451,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
1,NCT01425749,Not PM,,,,,,,,
1,NCT01436656,Human PM,Exact,Different Variant,BRAF (E586K),,,,,Matches
1,NCT01469455,Not PM,,,,,,,,
1,NCT01477463,Human PM,Not Disease,Missing Gene,BRAF (E586K),,,,,Matches
1,NCT01482260,Not PM,,,,,,,,
1,NCT01495988,Human PM,More Specific,Different Variant,BRAF (E586K),,,,,Matches
